ID,Nombre,Apellido,Edad,Region,Patrimonio,Historial_Crediticio,Variable_1,Variable_2,Variable_3,Variable_4,Ciudad
72,Isidora,Sepúlveda,32.0,Valparaíso,519998.0,Regular,35.0,29.0,115.0,226.0,Quilpué
73,Sofía,Martínez,,Maule,787940.0,Malo,36.0,2.0,,197.0,Linares
74,Sebastián,Muñoz,82.0,Valparaíso,227843.0,Bueno,22.0,33.0,196.0,84.0,Viña del Mar
75,Benjamín,,,,490221.0,Bueno,42.0,46.0,44.0,,Pucón
76,Sebastián,Díaz,18.0,Valparaíso,358289.0,Bueno,,,45.0,159.0,Valparaíso
77,Emilia,Soto,25.0,Valparaíso,827828.0,Bueno,75.0,31.0,80.0,,Viña del Mar
78,Sebastián,Rojas,80.0,Biobío,22604.0,Malo,83.0,28.0,165.0,293.0,Concepción
79,,Contreras,28.0,O'Higgins,243842.0,Bueno,93.0,32.0,,229.0,San Fernando
80,Emilia,Díaz,25.0,Valparaíso,,Bueno,1.0,,28.0,276.0,Quilpué
81,Valentina,Contreras,52.0,,859189.0,Bueno,,2.0,104.0,208.0,Curicó
82,Mateo,Díaz,52.0,Maule,467543.0,Bueno,,2.0,167.0,,Curicó
83,Mateo,Rojas,50.0,Maule,404220.0,Bueno,53.0,1.0,4.0,86.0,Talca
84,Sebastián,,22.0,Maule,449482.0,Malo,7.0,,86.0,142.0,
85,Agustín,Soto,58.0,Araucanía,971924.0,Bueno,76.0,,,105.0,Temuco
86,Martina,Sepúlveda,45.0,O'Higgins,850267.0,Bueno,29.0,14.0,94.0,22.0,Pichilemu
87,Sebastián,Sepúlveda,24.0,Metropolitana,706368.0,Bueno,56.0,46.0,7.0,114.0,
88,Sofía,Muñoz,29.0,,290478.0,Malo,79.0,45.0,105.0,281.0,Talcahuano
89,Martín,,51.0,Biobío,165172.0,Bueno,43.0,5.0,188.0,96.0,Talcahuano
90,Mateo,Muñoz,50.0,Metropolitana,921433.0,Bueno,99.0,37.0,69.0,159.0,Maipú
91,Martina,Muñoz,65.0,Maule,423075.0,Bueno,80.0,,61.0,291.0,Talca
92,Emilia,Contreras,,Metropolitana,,Bueno,,34.0,163.0,,Maipú
93,Sofía,Sepúlveda,79.0,O'Higgins,470920.0,Regular,70.0,40.0,40.0,84.0,Pichilemu
94,Martina,Silva,54.0,Maule,,Bueno,66.0,37.0,74.0,135.0,Linares
95,Valentina,Sepúlveda,61.0,O'Higgins,,Bueno,4.0,47.0,192.0,272.0,Rancagua
96,Sofía,Martínez,52.0,O'Higgins,562640.0,Bueno,37.0,47.0,131.0,182.0,San Fernando
97,Martín,Silva,82.0,Biobío,,Bueno,52.0,18.0,135.0,96.0,Chillán
98,,Sepúlveda,64.0,Maule,427132.0,Bueno,41.0,6.0,113.0,236.0,Curicó
99,Emilia,,,Araucanía,233541.0,Malo,18.0,47.0,15.0,168.0,Villarrica
100,Emilia,Silva,18.0,Maule,994525.0,Bueno,66.0,14.0,137.0,149.0,Talca
101,Benjamín,Muñoz,22.0,Araucanía,956570.0,Regular,98.0,0.0,161.0,,
102,Isidora,Contreras,31.0,O'Higgins,843479.0,Bueno,34.0,5.0,145.0,298.0,Pichilemu
103,Isidora,Silva,44.0,Araucanía,688373.0,Malo,96.0,28.0,22.0,175.0,Pucón
104,Agustín,Rojas,26.0,Metropolitana,294865.0,Bueno,75.0,,106.0,,Puente Alto
105,Valentina,Sepúlveda,32.0,Metropolitana,913412.0,Bueno,32.0,25.0,28.0,101.0,Santiago
106,Valentina,Martínez,59.0,Valparaíso,275556.0,Bueno,41.0,,145.0,25.0,Valparaíso
107,,Rojas,,Metropolitana,800809.0,Bueno,62.0,8.0,194.0,222.0,Santiago
108,Martín,Contreras,80.0,,918258.0,Bueno,74.0,0.0,100.0,77.0,Linares
109,,Muñoz,69.0,,,Malo,74.0,37.0,31.0,257.0,Valparaíso
110,Sofía,Martínez,21.0,Araucanía,803056.0,Regular,64.0,32.0,75.0,,Pucón
111,Mateo,Soto,40.0,Metropolitana,791695.0,Bueno,11.0,17.0,96.0,205.0,Puente Alto
112,Benjamín,,,Valparaíso,193157.0,Bueno,85.0,,109.0,64.0,Valparaíso
113,Martín,Martínez,60.0,Metropolitana,667924.0,Bueno,,1.0,91.0,115.0,Puente Alto
114,Sofía,Pérez,46.0,Maule,93467.0,Regular,17.0,13.0,,58.0,Linares
115,Martín,Silva,53.0,Biobío,,Bueno,21.0,49.0,99.0,77.0,Concepción
116,Valentina,Muñoz,30.0,Valparaíso,162235.0,Bueno,,16.0,198.0,55.0,Viña del Mar
117,Martina,Rojas,49.0,Metropolitana,,Malo,73.0,39.0,,124.0,Puente Alto
118,Agustín,,76.0,Valparaíso,832982.0,Bueno,5.0,,,216.0,Valparaíso
119,Sebastián,,45.0,Biobío,987167.0,Regular,4.0,4.0,169.0,,Concepción
120,,Muñoz,83.0,Metropolitana,317959.0,Bueno,0.0,12.0,74.0,,Maipú
121,Mateo,Muñoz,59.0,Valparaíso,531955.0,Regular,0.0,42.0,47.0,,Valparaíso
122,Sofía,,62.0,Maule,511298.0,Bueno,67.0,18.0,,297.0,Linares
123,Martín,Martínez,79.0,Metropolitana,,Bueno,49.0,36.0,31.0,,Santiago
124,Valentina,Muñoz,74.0,Maule,478583.0,Malo,67.0,16.0,80.0,134.0,
125,Emilia,Pérez,23.0,O'Higgins,699106.0,Bueno,23.0,18.0,164.0,286.0,Pichilemu
126,Emilia,Rojas,45.0,Valparaíso,921789.0,Bueno,71.0,30.0,142.0,153.0,Quilpué
127,Valentina,Muñoz,45.0,O'Higgins,373378.0,Bueno,31.0,,181.0,243.0,Rancagua
128,Isidora,Silva,61.0,Metropolitana,902122.0,Bueno,,23.0,51.0,133.0,Santiago
129,Isidora,González,47.0,O'Higgins,917456.0,Regular,86.0,36.0,,,San Fernando
130,Agustín,González,79.0,O'Higgins,930662.0,,6.0,0.0,127.0,176.0,Rancagua
131,Valentina,Soto,79.0,Metropolitana,270446.0,Regular,,44.0,100.0,228.0,Maipú
132,Isidora,Martínez,,Metropolitana,400355.0,,,,141.0,230.0,Santiago
133,Sebastián,Sepúlveda,44.0,Maule,870395.0,Bueno,24.0,30.0,115.0,175.0,Curicó
134,Agustín,Sepúlveda,79.0,Biobío,359161.0,Regular,84.0,37.0,164.0,,Chillán
135,,Martínez,20.0,Maule,600253.0,Bueno,69.0,,37.0,97.0,Curicó
136,Sebastián,Silva,44.0,Biobío,118054.0,Regular,29.0,42.0,84.0,,Talcahuano
137,Benjamín,Pérez,26.0,Maule,56274.0,Bueno,69.0,18.0,145.0,6.0,Linares
138,Benjamín,González,79.0,O'Higgins,411993.0,,90.0,2.0,146.0,198.0,San Fernando
139,Agustín,Rojas,54.0,Metropolitana,578916.0,Bueno,87.0,45.0,54.0,,Santiago
140,Isidora,Silva,68.0,Araucanía,392699.0,Bueno,80.0,39.0,88.0,69.0,Pucón
141,Martín,Martínez,61.0,Maule,,Bueno,99.0,17.0,,218.0,Curicó
142,Martina,Martínez,41.0,Metropolitana,515084.0,Bueno,,42.0,129.0,166.0,Puente Alto
143,Emilia,Soto,,,685707.0,Bueno,74.0,32.0,,,Concepción
144,,Muñoz,49.0,,649532.0,Bueno,29.0,39.0,,248.0,Talca
145,Sofía,Muñoz,69.0,Biobío,424245.0,Bueno,93.0,48.0,107.0,172.0,Talcahuano
146,Emilia,Rojas,79.0,Maule,,Bueno,8.0,3.0,119.0,282.0,Linares
147,Martina,Sepúlveda,75.0,Metropolitana,140778.0,,66.0,39.0,188.0,291.0,Santiago
148,Isidora,Díaz,,,513238.0,Bueno,,3.0,179.0,222.0,Maipú
149,Martina,Rojas,29.0,Biobío,587179.0,Bueno,99.0,33.0,,25.0,Talcahuano
150,Valentina,Silva,56.0,Biobío,476489.0,,51.0,40.0,79.0,204.0,Concepción
151,Sofía,Díaz,19.0,Maule,325707.0,Bueno,,19.0,127.0,285.0,Linares
152,Sebastián,González,20.0,Valparaíso,721648.0,Bueno,52.0,,37.0,274.0,Viña del Mar
153,Agustín,González,73.0,Maule,74661.0,Regular,,11.0,152.0,61.0,Linares
154,Mateo,Silva,76.0,Valparaíso,914440.0,Bueno,97.0,,39.0,268.0,Viña del Mar
155,Sofía,Rojas,19.0,O'Higgins,20643.0,Bueno,96.0,36.0,124.0,48.0,Rancagua
156,Martina,Muñoz,19.0,Araucanía,962350.0,Malo,23.0,49.0,48.0,23.0,Villarrica
157,Emilia,Muñoz,71.0,Metropolitana,,Bueno,55.0,49.0,192.0,11.0,Santiago
158,Benjamín,Contreras,18.0,Biobío,412669.0,Bueno,54.0,,126.0,288.0,
159,Martín,Martínez,36.0,Biobío,256444.0,Regular,12.0,7.0,183.0,70.0,Chillán
160,Martina,Silva,,O'Higgins,10071.0,Bueno,69.0,8.0,,48.0,Pichilemu
161,Martina,Díaz,70.0,Biobío,274790.0,Malo,75.0,,139.0,71.0,Chillán
162,Martín,Martínez,61.0,Araucanía,109399.0,Malo,86.0,29.0,119.0,198.0,Temuco
163,Emilia,,49.0,,659820.0,Bueno,73.0,45.0,182.0,47.0,San Fernando
164,Benjamín,Sepúlveda,49.0,Araucanía,6109120.0,Malo,11.0,19.0,,189.0,Villarrica
165,Martina,Díaz,72.0,Valparaíso,767179.0,Malo,91.0,43.0,161.0,6.0,Viña del Mar
166,Agustín,Pérez,73.0,Biobío,206916.0,Bueno,,,28.0,118.0,Concepción
167,Sofía,Martínez,34.0,Valparaíso,900234.0,Malo,60.0,41.0,101.0,227.0,Viña del Mar
168,,Díaz,55.0,O'Higgins,522981.0,Bueno,64.0,17.0,,79.0,Pichilemu
169,,Rojas,41.0,Araucanía,,Bueno,15.0,42.0,79.0,102.0,Villarrica
170,Martina,Rojas,28.0,Araucanía,400845.0,Bueno,,15.0,41.0,31.0,Villarrica
171,Mateo,Soto,33.0,Metropolitana,,Bueno,29.0,36.0,32.0,203.0,Maipú
172,,Martínez,76.0,Biobío,199685.0,Bueno,70.0,42.0,177.0,105.0,Chillán
173,Martina,,20.0,Metropolitana,506369.0,Bueno,62.0,6.0,106.0,53.0,
174,Mateo,Martínez,37.0,Araucanía,671892.0,Bueno,42.0,5.0,196.0,4.0,Pucón
175,Benjamín,Muñoz,76.0,Valparaíso,911618.0,Bueno,16.0,36.0,15.0,182.0,Quilpué
176,,Soto,53.0,Maule,502162.0,Bueno,73.0,34.0,160.0,145.0,Talca
177,Agustín,Martínez,,Araucanía,965838.0,Bueno,93.0,,17.0,213.0,Temuco
178,Sebastián,Silva,84.0,,941634.0,Bueno,57.0,49.0,12.0,153.0,Puente Alto
179,Valentina,,36.0,O'Higgins,,Regular,91.0,7.0,61.0,121.0,
180,Sofía,González,37.0,,499977.0,Bueno,,24.0,183.0,265.0,Chillán
181,Agustín,Soto,69.0,O'Higgins,140903.0,Bueno,95.0,11.0,188.0,165.0,
182,Agustín,Rojas,50.0,Metropolitana,,Bueno,33.0,4.0,51.0,240.0,Santiago
183,Martina,Pérez,57.0,Metropolitana,647670.0,Bueno,63.0,22.0,111.0,261.0,Santiago
184,Sofía,Díaz,56.0,Araucanía,421754.0,,22.0,,20.0,,Pucón
185,Martín,Martínez,18.0,Maule,146801.0,Malo,73.0,47.0,179.0,99.0,Curicó
186,Isidora,Soto,28.0,O'Higgins,478993.0,Regular,98.0,18.0,18.0,,Rancagua
187,Isidora,Soto,,,,Bueno,32.0,25.0,,74.0,
188,Valentina,Contreras,67.0,O'Higgins,733895.0,Bueno,6.0,45.0,55.0,35.0,Rancagua
189,Isidora,Silva,40.0,Biobío,73581.0,Bueno,97.0,45.0,49.0,226.0,Concepción
190,Sebastián,Martínez,48.0,Valparaíso,629113.0,,3.0,,85.0,94.0,Viña del Mar
191,Sofía,Soto,,Valparaíso,793010.0,Bueno,36.0,12.0,23.0,264.0,Valparaíso
192,Emilia,Silva,24.0,Valparaíso,132643.0,Bueno,55.0,,,213.0,Viña del Mar
193,Valentina,Díaz,33.0,O'Higgins,518638.0,Bueno,78.0,28.0,153.0,199.0,Rancagua
194,Benjamín,Contreras,,Metropolitana,779067.0,Bueno,,42.0,79.0,78.0,Santiago
195,Martín,Contreras,19.0,Araucanía,260633.0,Regular,5.0,22.0,170.0,12.0,Villarrica
196,Sebastián,González,18.0,Metropolitana,162916.0,Bueno,69.0,31.0,57.0,190.0,Santiago
197,Martina,Sepúlveda,65.0,Valparaíso,336819.0,Malo,9.0,20.0,90.0,4.0,Viña del Mar
198,Sofía,González,29.0,Valparaíso,554699.0,Bueno,24.0,,78.0,99.0,Valparaíso
199,Agustín,Díaz,54.0,Araucanía,575279.0,,26.0,,109.0,,Pucón
200,Sofía,Sepúlveda,49.0,Metropolitana,130876.0,,83.0,18.0,195.0,163.0,Maipú
201,Benjamín,Rojas,26.0,Metropolitana,457568.0,Regular,57.0,38.0,21.0,187.0,Maipú
202,Sebastián,González,36.0,Metropolitana,268282.0,Regular,45.0,1.0,199.0,41.0,Maipú
203,Valentina,Rojas,65.0,Maule,842024.0,Bueno,2.0,40.0,41.0,15.0,Curicó
204,Agustín,Rojas,20.0,Biobío,313575.0,Bueno,50.0,49.0,35.0,,Chillán
205,Martina,Soto,37.0,Araucanía,838704.0,Bueno,71.0,24.0,139.0,210.0,Villarrica
206,Emilia,Soto,,Araucanía,428564.0,Bueno,97.0,8.0,157.0,209.0,Temuco
207,Agustín,Contreras,,,726585.0,Bueno,48.0,42.0,81.0,259.0,Chillán
208,Sebastián,,50.0,Metropolitana,,Bueno,55.0,39.0,147.0,200.0,Puente Alto
209,Sofía,Martínez,41.0,,621962.0,Bueno,32.0,48.0,85.0,0.0,Pucón
210,Martina,,,Maule,395356.0,Bueno,81.0,12.0,143.0,222.0,
211,Valentina,Sepúlveda,,Metropolitana,768206.0,Bueno,54.0,9.0,162.0,291.0,Puente Alto
212,Emilia,Sepúlveda,42.0,Valparaíso,425189.0,Bueno,37.0,6.0,137.0,,Valparaíso
213,Isidora,Contreras,35.0,Araucanía,457461.0,Bueno,11.0,22.0,72.0,38.0,Villarrica
214,Sebastián,Silva,83.0,Maule,517678.0,Bueno,89.0,36.0,14.0,91.0,Curicó
215,Sofía,Sepúlveda,71.0,Maule,831824.0,,80.0,7.0,79.0,233.0,Linares
216,Emilia,,,Maule,659378.0,Bueno,,21.0,61.0,153.0,Talca
217,Martina,Díaz,78.0,Valparaíso,349160.0,Bueno,87.0,12.0,164.0,213.0,Valparaíso
218,Mateo,,58.0,O'Higgins,670319.0,Bueno,55.0,19.0,167.0,13.0,Rancagua
219,Sofía,,50.0,Biobío,642426.0,Regular,77.0,2.0,61.0,100.0,Chillán
220,Benjamín,Contreras,,Valparaíso,,Bueno,65.0,19.0,100.0,60.0,Viña del Mar
221,Sofía,Soto,31.0,Maule,841416.0,Malo,7.0,3.0,72.0,243.0,Curicó
222,Benjamín,Rojas,38.0,Metropolitana,647446.0,Bueno,24.0,38.0,,46.0,Santiago
223,,González,,Maule,341507.0,Bueno,42.0,2.0,121.0,131.0,Curicó
224,Sofía,González,,Valparaíso,779576.0,Bueno,11.0,16.0,173.0,6.0,Valparaíso
225,Agustín,Rojas,25.0,Valparaíso,575208.0,Bueno,,,107.0,173.0,Quilpué
226,Isidora,,24.0,Valparaíso,985269.0,Bueno,3.0,35.0,46.0,8.0,Valparaíso
227,,Rojas,84.0,Valparaíso,247506.0,Bueno,88.0,7.0,66.0,267.0,Valparaíso
228,Valentina,Sepúlveda,34.0,Maule,79655.0,Bueno,4.0,32.0,,41.0,Linares
229,Benjamín,Muñoz,50.0,Valparaíso,69891.0,Bueno,54.0,30.0,,36.0,Valparaíso
230,Valentina,,65.0,Valparaíso,640030.0,Bueno,68.0,29.0,162.0,0.0,
231,Martín,Díaz,76.0,Maule,939260.0,Bueno,29.0,13.0,17.0,6.0,Curicó
232,Sofía,Silva,39.0,Araucanía,1931.0,Bueno,0.0,44.0,,42.0,Villarrica
233,Agustín,Martínez,47.0,O'Higgins,725771.0,Bueno,55.0,9.0,,79.0,Pichilemu
234,Sofía,Martínez,55.0,Maule,,Bueno,46.0,18.0,129.0,188.0,Curicó
235,Isidora,Silva,68.0,O'Higgins,,Bueno,18.0,36.0,,286.0,Pichilemu
236,,Martínez,71.0,Metropolitana,355405.0,Bueno,9.0,11.0,198.0,219.0,Puente Alto
237,Benjamín,Pérez,25.0,Biobío,820496.0,Bueno,,,145.0,208.0,Chillán
238,,Sepúlveda,44.0,O'Higgins,44706.0,Bueno,19.0,35.0,3.0,141.0,Pichilemu
239,Sofía,González,44.0,Araucanía,,Bueno,42.0,27.0,54.0,250.0,Pucón
240,Sofía,Soto,38.0,Metropolitana,267071.0,Bueno,78.0,,,4.0,Puente Alto
241,Benjamín,Díaz,47.0,Maule,476837.0,Malo,91.0,39.0,173.0,,Curicó
242,Benjamín,Muñoz,45.0,Araucanía,822636.0,Bueno,39.0,5.0,188.0,222.0,Villarrica
243,Martina,González,81.0,,271359.0,Bueno,,11.0,11.0,,Maipú
244,Isidora,Rojas,78.0,Maule,185207.0,Regular,71.0,18.0,,,Linares
245,,Rojas,65.0,Metropolitana,681313.0,Bueno,15.0,23.0,127.0,217.0,Santiago
246,Sebastián,,36.0,Valparaíso,533394.0,Regular,83.0,1.0,133.0,92.0,Viña del Mar
247,Sofía,Rojas,21.0,,514403.0,Bueno,27.0,34.0,,271.0,Quilpué
248,Martina,Rojas,52.0,Biobío,256769.0,Bueno,41.0,8.0,189.0,251.0,Concepción
249,Emilia,Rojas,81.0,O'Higgins,,Bueno,93.0,44.0,,84.0,Pichilemu
250,Mateo,Sepúlveda,66.0,Metropolitana,,,97.0,15.0,82.0,,Santiago
251,Agustín,Sepúlveda,34.0,Maule,106559.0,Bueno,43.0,13.0,111.0,44.0,Curicó
252,Valentina,Sepúlveda,61.0,Metropolitana,905989.0,Bueno,,6.0,163.0,125.0,Santiago
253,Martín,Muñoz,47.0,Metropolitana,41250.0,Bueno,13.0,37.0,121.0,244.0,Puente Alto
254,,Contreras,63.0,Valparaíso,431650.0,Bueno,15.0,46.0,39.0,,Viña del Mar
255,Benjamín,González,23.0,Maule,52245.0,Bueno,51.0,,56.0,100.0,Linares
256,Mateo,Rojas,54.0,Maule,95543.0,Bueno,68.0,43.0,,249.0,Linares
257,Isidora,,41.0,Maule,658866.0,Bueno,36.0,31.0,87.0,27.0,Talca
258,Mateo,Soto,63.0,Metropolitana,647111.0,Bueno,23.0,17.0,,236.0,Maipú
259,Sofía,Rojas,70.0,Biobío,33052.0,Regular,0.0,37.0,93.0,207.0,Chillán
260,Sofía,González,77.0,Araucanía,1131.0,Bueno,29.0,9.0,189.0,76.0,Temuco
261,Benjamín,Pérez,80.0,Araucanía,78818.0,Regular,62.0,0.0,179.0,298.0,
262,Agustín,,49.0,Araucanía,762998.0,Bueno,74.0,18.0,135.0,217.0,
263,Benjamín,Contreras,50.0,,584576.0,Bueno,81.0,29.0,9.0,260.0,Viña del Mar
264,Martina,Martínez,84.0,Araucanía,38118.0,Bueno,52.0,33.0,62.0,78.0,
265,Sebastián,Martínez,35.0,Araucanía,488097.0,Bueno,92.0,21.0,164.0,224.0,Temuco
266,Valentina,Soto,42.0,Metropolitana,712029.0,Bueno,78.0,42.0,34.0,14.0,Maipú
267,Isidora,Contreras,71.0,Maule,868951.0,,78.0,,178.0,298.0,Linares
268,Isidora,Contreras,75.0,Maule,934036.0,Bueno,1.0,0.0,131.0,6.0,Curicó
269,Sebastián,,84.0,Metropolitana,327440.0,Bueno,4.0,34.0,134.0,68.0,Maipú
270,,Soto,63.0,Biobío,135832.0,Bueno,76.0,36.0,29.0,153.0,Chillán
271,Emilia,González,41.0,Metropolitana,236925.0,Bueno,30.0,,124.0,91.0,Santiago
272,Agustín,Martínez,49.0,Biobío,776171.0,Bueno,28.0,39.0,,282.0,Talcahuano
273,Martina,Pérez,,O'Higgins,971484.0,Regular,29.0,,88.0,173.0,Pichilemu
274,Sofía,Díaz,40.0,Maule,466393.0,Bueno,75.0,,7.0,112.0,Linares
275,Valentina,Pérez,83.0,Valparaíso,305353.0,Bueno,67.0,27.0,102.0,155.0,Quilpué
276,Valentina,,44.0,O'Higgins,429190.0,Bueno,4.0,15.0,149.0,78.0,Rancagua
277,Isidora,Silva,19.0,Metropolitana,304813.0,Bueno,79.0,29.0,,211.0,
278,Agustín,Contreras,34.0,Valparaíso,256487.0,Regular,43.0,23.0,71.0,274.0,Viña del Mar
279,Sofía,Pérez,50.0,Metropolitana,,Bueno,,13.0,162.0,240.0,Santiago
280,,González,26.0,Araucanía,15735.0,,94.0,34.0,46.0,34.0,Temuco
281,Mateo,Muñoz,60.0,Maule,259552.0,Malo,63.0,22.0,11.0,207.0,Talca
282,Martín,Rojas,,Biobío,661382.0,Bueno,68.0,41.0,187.0,85.0,Chillán
